Order ID,Product ID,Amount (kg),Order Confirm Date,Required Delivery Date
1005429,8908748,20000,2018-09-25,2018-11-19
1005429,8908748,20000,2018-09-25,2018-11-23
1005435,8908023,21000,2018-09-25,2018-11-05
1005435,8908023,21000,2018-09-25,2018-11-09
1005435,8908023,21000,2018-09-25,2018-11-12
1005435,8908023,21000,2018-09-25,2018-11-16
1005435,8908023,21000,2018-09-25,2018-11-19
1005435,8908023,21000,2018-09-25,2018-11-23
1004548,8908023,21000,2018-09-26,2018-10-10
1004548,8908023,21000,2018-09-26,2018-10-17
1004548,8908023,21000,2018-09-26,2018-10-24
1004548,8908023,21000,2018-09-26,2018-10-30
1005432,8902635,21000,2018-10-01,2018-11-13
1005623,8908114,8300,2018-10-01,2018-10-30
1005432,8902635,21000,2018-06-13,2018-07-04
1005432,8902635,21000,2018-06-13,2018-07-31
1005432,8902635,21000,2018-06-13,2018-07-31
1005584,8908023,20000,2018-06-13,2018-07-25
1005436,8908672,20000,2018-06-19,2018-07-31
1005586,8908114,21000,2018-08-08,2018-09-24
1005586,8908114,21000,2018-08-08,2018-10-01
1005584,8908023,20000,2018-08-08,2018-09-04
1005584,8908023,20000,2018-08-08,2018-09-27
1005584,8908023,20000,2018-08-08,2018-10-03
1005507,8902635,17000,2018-08-10,2018-09-06
1005430,8908749,20000,2018-08-13,2018-09-04
1005430,8908749,20000,2018-08-13,2018-09-07
1005430,8908749,20000,2018-08-13,2018-09-10
1005430,8908749,20000,2018-08-13,2018-09-12
1005430,8908749,20000,2018-08-13,2018-09-14
1005430,8908749,20000,2018-08-13,2018-09-18
1005430,8908749,20000,2018-08-13,2018-09-25
1005430,8908749,20000,2018-08-13,2018-09-28
1005430,8908749,20000,2018-08-13,2018-10-01
1005430,8908749,20000,2018-08-13,2018-09-21
1005431,8908023,20000,2018-08-13,2018-09-03
1005431,8908023,20000,2018-08-13,2018-09-17
1005436,8908672,20000,2018-08-13,2018-09-28
1005448,8908112,20000,2018-08-14,2018-09-04
1005622,8908114,22000,2018-08-27,2018-10-02
1005623,8908114,20000,2018-09-03,2018-10-09
1005435,8908023,21000,2018-09-03,2018-10-03
1005435,8908023,21000,2018-09-03,2018-10-10
1005435,8908023,21000,2018-09-03,2018-10-10
1005435,8908023,21000,2018-09-03,2018-10-15
1005435,8908023,21000,2018-09-03,2018-10-15
1005435,8908023,21000,2018-09-03,2018-10-22
1005435,8908023,21000,2018-09-03,2018-10-22
1005446,8908023,13000,2018-10-09,2018-11-14
1005586,8908114,21000,2018-10-16,2018-11-09
1005586,8908114,21000,2018-10-16,2018-12-04
1005486,8902398,1460,2018-06-27,2018-07-16
1005507,8902635,21000,2018-06-29,2018-08-13
1005584,8908023,21000,2019-01-28,2019-03-19
1005446,8908023,20000,2018-10-22,2018-12-05
1005446,8908023,20000,2018-10-22,2018-12-11
1005446,8908023,20000,2018-10-22,2018-12-18
1005446,8908023,7000,2018-11-02,2018-11-14
1005516,8905735,1450,2018-11-20,2019-02-01
1005431,8908023,20000,2018-12-11,2019-02-15
1005436,8908672,20000,2018-12-11,2019-02-15
1005446,8908023,20000,2018-12-17,2019-02-13
1005446,8908023,20000,2018-12-17,2019-01-31
1005446,8908023,20000,2018-12-17,2019-02-12
1005531,8902398,4100,2019-01-04,2019-04-09
1005531,8902398,4100,2019-01-04,2019-03-05
1005447,8907133,4500,2019-01-04,2019-03-12
1005495,8908112,14000,2019-01-09,2019-01-29
1005462,8902398,6650,2019-01-13,2019-03-25
1005465,8908023,22000,2019-01-21,2019-02-01
1005684,8908023,22000,2019-01-21,2019-02-27
1005436,8908672,20000,2018-11-21,2018-12-20
1004548,8908023,17000,2018-11-21,2019-01-08
1005684,8908023,22000,2018-12-14,2019-01-28
1005684,8908023,22000,2018-12-14,2019-01-14
1005684,8908023,22000,2018-12-14,2019-01-21
1005488,8908023,21000,2018-12-21,2019-01-30
1005446,8908023,20000,2019-01-04,2019-02-14
